"action","annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
"Swap",1,"1","2024-03-18T22:43:47.903489Z",1,28.04,"decentralized-finance","$BIF just landed on the moon! $Bonk & $Wif set the stage. Now it's Bif's time to shine. Next 100x meme in the making. Million dollar wallets accumulating 2 CEX listings a booming community Next leg up going to melt faces! #BIF #SOL #WIF #BONK #memecoins","2024-03-18T22:43:47.903506Z"
"Swap",2,"1","2024-03-18T22:44:51.169985Z",2,62.912,"memecoins","Holding my #shib knowing I will end up rich $SHIB #Shibwifhat #SHIBARMY #SOLANA #WIF","2024-03-18T22:44:51.170007Z"
"Swap",3,"1","2024-03-18T22:45:12.468385Z",3,20.961,"memecoins","$BONK & $WIF set the stage Now it's $BIF time to shine Next 100x meme in the making. Million dollar wallets keep accumulating","2024-03-18T22:45:12.468399Z"
"Swap",4,"1","2024-03-18T22:45:23.487705Z",4,10.679,"memecoins","$KIMBO stepping up big time ! #wif subnet and marketing campaigns? Full send Watch the trailer and let all dogs go on a moon mission","2024-03-18T22:45:23.487742Z"
"Swap",5,"1","2024-03-18T22:45:49.151558Z",5,25.315,"memecoins","$KIMBO will full send & lighting up the scene with a movie series, NFT drop, & subnet. Watch out, billion player with 30M cap incoming. Imagine the X-Gains when CEX listings & #AVAX support happen, we’re just getting started. $COQ $tech #nochill #floki #pepe #wif #myro","2024-03-18T22:45:49.151574Z"
"Swap",6,"1","2024-03-18T22:45:59.682135Z",6,10.19,"memecoins","#WIF PUMPED HARD $WIF 1750% UP SINCE UPDATE WITHOUT ANY LEVERAGE IN SPOTS THIS POST AND I WILL SHARE NEXT 10X GEM COIN #dogwifhat","2024-03-18T22:45:59.682147Z"
"Swap",7,"1","2024-03-18T22:46:07.496407Z",7,7.491,"memecoins","#PEPE wants to push higher; consolidating in an uptrend. Despite us catching the 10x, it still needs to 5x-6x to reach SHIB or DOGE market cap IMO I've seen more of PEPE than doge or shib on X and PEPE still is not on Coinbase I think at some point this cycle it catches up to them and temporarily flips one or both","2024-03-18T22:46:07.496424Z"
"Swap",8,"1","2024-03-18T22:46:29.025289Z",8,21.191,"memecoins","$bork Soon 200% UP @BorkSOL #solana #borkarmy #memecoins #eth $like #wif #bonke $ponke #pepe","2024-03-18T22:46:29.025306Z"
"Swap",9,"1","2024-03-18T22:46:38.590827Z",9,9.217,"memecoins","$CIF up 2x++ free money szn","2024-03-18T22:46:38.590842Z"
"Swap",10,"1","2024-03-18T22:46:53.063159Z",10,14.13,"decentralized-finance","#Solana Hits Record High Above 200 Dollars: Exploring 3 Pivotal Growth Stimuli","2024-03-18T22:46:53.063176Z"
